pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,collision
Hulkenberg,Sauber,Lusail,26,244.8454272300316,10,34,24,9,6,1
Alonso,Aston Martin,Imola,22,132.9778007580841,79,53,53,4,4,1
Hulkenberg,Sauber,Zandvoort,5,52.86807102671871,37,32,24,0,20,1
Hamilton,Ferrari,Barcelona,15,173.84619124472908,49,9,10,7,15,1
Hadjar,Racing Bulls,Lusail,8,290.2368353611674,86,25,5,3,14,0
Lawson,Racing Bulls,Singapore,29,274.9615670796015,21,76,20,9,1,1
Leclerc,Ferrari,Melbourne,18,345.42637092697885,85,2,24,5,3,0
Antonelli,Mercedes,Baku,12,162.06363220295833,63,44,5,10,18,1
Russel,Mercedes,Sakhir,15,247.30384506677535,63,35,4,10,6,0
Russel,Mercedes,Spielberg,5,151.5816318095943,28,16,41,7,17,1
Hulkenberg,Sauber,Baku,26,107.91624393085024,21,82,60,1,12,1
Alonso,Aston Martin,Jeddah,8,61.16736429855837,62,38,52,8,2,1
Bortoleto,Sauber,Baku,18,83.1441089018383,89,7,65,5,1,1
Alonso,Aston Martin,Lusail,5,81.90921387255757,73,23,10,1,9,1
Hadjar,Racing Bulls,Silverstone,14,57.32911171479667,44,69,43,11,4,1
Stroll,Aston Martin,Silverstone,23,332.8825327098277,25,0,1,5,11,1
Hamilton,Ferrari,Sao Paulo,12,204.85408577368048,0,9,44,6,15,1
Stroll,Aston Martin,Sao Paulo,22,266.98432478322496,66,73,7,8,3,0
Hadjar,Racing Bulls,Barcelona,13,183.74050424760406,26,1,47,4,9,0
Tsunoda,Red Bull Racing,Singapore,2,141.41454809716296,65,38,12,8,4,1
Tsunoda,Red Bull Racing,Spa,18,289.71598094616405,52,79,28,0,20,1
Antonelli,Mercedes,Barcelona,3,62.967215743955485,63,34,11,6,2,1
Hulkenberg,Sauber,Jeddah,1,72.10940413995405,3,28,56,5,9,1
Albon,Williams,Montreal,13,132.21453135636,65,65,54,7,2,1
Gasly,Alpine,Sao Paulo,12,255.95615337324094,98,14,24,0,13,0
Gasly,Alpine,Suzuka,21,254.83733240340956,43,10,35,2,9,0
Norris,McLaren,Monza,5,151.1070778799825,67,73,51,1,3,0
Russel,Mercedes,Suzuka,28,319.4270938559702,20,25,5,2,2,0
Hadjar,Racing Bulls,Zandvoort,6,309.078641586448,48,50,50,7,7,0
Alonso,Aston Martin,Suzuka,10,91.25293044366758,56,43,3,3,1,1
Norris,McLaren,Melbourne,5,81.81782155840581,26,67,53,5,5,1
Gasly,Alpine,Spielberg,26,206.31186622371584,63,67,8,1,8,0
Colapinto,Alpine,Suzuka,4,311.3939693183986,83,35,8,2,3,0
Lawson,Racing Bulls,Lusail,29,211.58597553353934,41,22,22,10,17,1
Bearman,Haas,Spa,6,349.1011519329237,27,42,11,1,13,0
Leclerc,Ferrari,Austin,27,53.658025754463644,23,65,14,9,20,1
Antonelli,Mercedes,Montreal,1,91.24031236582184,3,26,31,1,14,1
Stroll,Aston Martin,Suzuka,6,192.22842862707307,53,96,38,2,17,0
Ocon,Haas,Melbourne,9,247.36288776690648,20,64,22,0,12,0
Colapinto,Alpine,Singapore,7,88.52949623535025,46,75,10,11,9,1
Piastri,McLaren,Zandvoort,25,319.84460476865513,67,21,51,3,9,0
Leclerc,Ferrari,Las Vegas,9,156.4610451946993,36,78,53,5,14,0
Piastri,McLaren,Montreal,23,283.3751253422707,52,55,42,1,16,1
