pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,collision
Bearman,Haas,Las Vegas,14,283.29734790808607,70,80,44,7,14,1
Hulkenberg,Sauber,Budapest,20,244.41173815714623,67,90,63,9,20,1
Bearman,Haas,Montreal,5,216.08058728294301,34,25,42,10,14,1
Lawson,Racing Bulls,Lusail,29,291.2379818336085,94,32,43,6,8,1
Leclerc,Ferrari,Spielberg,22,285.9980310860668,13,47,22,5,15,1
Hulkenberg,Sauber,Sakhir,4,156.09829806691664,81,34,4,9,2,0
Albon,Williams,Abu Dhabi,24,290.86117086664086,27,45,60,2,10,0
Sainz,Williams,Monza,16,241.58215673865075,38,16,50,10,13,1
Norris,McLaren,Jeddah,28,60.06159981482727,72,77,20,10,13,1
Sainz,Williams,Imola,5,223.45542915507448,34,44,54,7,18,1
Verstappen,Red Bull,Baku,19,278.2712322642653,46,87,48,2,19,1
Leclerc,Ferrari,Lusail,29,240.40235444851555,24,12,33,6,10,1
Piastri,McLaren,Austin,13,52.9475654980222,38,22,53,7,11,1
Russel,Mercedes,Singapore,1,348.8571503269527,47,95,51,8,10,0
Hamilton,Ferrari,Jeddah,27,65.5679555070689,95,64,17,2,13,1
Hulkenberg,Sauber,Spa,24,108.60002549580987,97,73,30,9,13,1
Hadjar,Racing Bulls,Singapore,19,337.7177382610305,59,53,64,9,12,1
Alonso,Aston Martin,Lusail,17,59.50487934172608,44,24,52,6,1,1
Antonelli,Mercedes,Zandvoort,24,73.3878941688526,28,19,2,0,3,1
Antonelli,Mercedes,Montreal,3,197.9259995443678,29,6,29,7,12,1
Bearman,Haas,Lusail,10,186.69614286686323,26,99,27,2,2,0
Leclerc,Ferrari,Zandvoort,19,75.14652931756738,8,7,5,0,13,1
Bortoleto,Sauber,Spa,3,306.7382340759496,53,24,9,4,7,0
Lawson,Racing Bulls,Spielberg,25,336.88534660625345,20,26,50,9,20,1
Hulkenberg,Sauber,Lusail,0,273.9621054082945,65,84,25,1,13,0
Tsunoda,Red Bull Racing,Jeddah,11,309.898918867863,65,2,17,2,14,0
Tsunoda,Red Bull Racing,Las Vegas,16,164.07294723947012,76,14,30,0,5,0
Norris,McLaren,Imola,20,61.12645023825692,19,63,40,9,14,1
Alonso,Aston Martin,Baku,23,168.93161518088726,48,21,31,4,11,1
Hadjar,Racing Bulls,Barcelona,9,206.5238717111435,76,55,9,8,19,1
Lawson,Racing Bulls,Abu Dhabi,10,306.65758732893346,87,28,64,5,18,0
Leclerc,Ferrari,Baku,24,202.4673699424304,72,99,36,9,9,0
Stroll,Aston Martin,Monza,25,347.4071650985037,44,19,54,5,19,1
Hulkenberg,Sauber,Monaco,24,137.14527044622596,71,85,41,3,12,1
Russel,Mercedes,Monza,10,84.7911979203294,8,39,65,9,20,1
Hadjar,Racing Bulls,Melbourne,4,188.18465511663968,4,7,39,11,9,0
Colapinto,Alpine,Sakhir,8,152.4351671546659,82,62,9,2,13,0
Leclerc,Ferrari,Miami,26,227.4162336493348,30,48,58,6,12,1
Piastri,McLaren,Imola,7,289.44905510063904,29,94,22,10,15,1
Lawson,Racing Bulls,Mexico City,0,250.48009794424644,11,77,19,2,5,0
Hamilton,Ferrari,Lusail,0,201.20274911501588,50,29,6,3,19,0
Russel,Mercedes,Singapore,16,100.12201570121616,48,12,34,5,1,1
Tsunoda,Red Bull Racing,Sao Paulo,0,197.6950174100655,40,80,6,8,20,1
Bortoleto,Sauber,Baku,14,195.71395218645173,96,34,62,1,3,0
Leclerc,Ferrari,Shanghai,19,169.26933331491156,44,50,57,3,6,0
Tsunoda,Red Bull Racing,Monza,16,97.65192226549186,60,58,20,8,15,1
Albon,Williams,Mexico City,28,161.20477684370286,0,18,47,5,5,0
Gasly,Alpine,Mexico City,19,117.30229182114465,36,90,34,9,19,1
Piastri,McLaren,Barcelona,24,314.710841434159,9,43,13,0,11,1
Lawson,Racing Bulls,Montreal,4,228.6764859117858,7,34,30,7,1,0
Stroll,Aston Martin,Jeddah,13,106.87045545994809,73,2,40,2,20,1
Russel,Mercedes,Abu Dhabi,22,257.5167724823319,52,78,40,2,11,1
Hamilton,Ferrari,Monza,13,145.29317742451906,75,47,65,2,4,1
Hulkenberg,Sauber,Las Vegas,19,255.00077990368516,57,23,39,9,9,0
Norris,McLaren,Sao Paulo,0,165.11996325116266,86,26,33,1,12,0
Hulkenberg,Sauber,Melbourne,8,177.41080128615394,62,9,60,1,19,0
Gasly,Alpine,Jeddah,9,124.55754785361667,11,1,65,6,7,1
Lawson,Racing Bulls,Barcelona,14,217.82456755758986,37,1,34,8,19,1
Gasly,Alpine,Singapore,17,305.0622872101904,64,20,43,1,1,0
Ocon,Haas,Mexico City,10,313.6741462132087,14,43,22,6,2,0
Russel,Mercedes,Silverstone,3,140.71355709464183,96,5,4,2,14,1
Verstappen,Red Bull,Abu Dhabi,18,317.06336733338713,62,72,29,3,8,0
Stroll,Aston Martin,Lusail,28,201.99991503310926,92,84,20,4,13,1
Alonso,Aston Martin,Austin,14,347.828255716733,44,86,16,4,15,0
Leclerc,Ferrari,Jeddah,11,117.24381247686352,79,66,62,9,1,1
Hadjar,Racing Bulls,Budapest,6,56.53872391092164,82,96,35,1,5,1
Hulkenberg,Sauber,Zandvoort,12,325.95055522220053,31,74,30,9,9,0
Sainz,Williams,Barcelona,20,249.23408618584767,41,70,10,2,1,0
Hulkenberg,Sauber,Montreal,14,72.7905291917484,68,68,2,7,11,1
Norris,McLaren,Zandvoort,25,245.08770510978857,7,51,43,4,3,0
Alonso,Aston Martin,Sao Paulo,18,217.57245498422168,75,80,61,8,4,0
Alonso,Aston Martin,Melbourne,12,234.27709989997103,93,15,28,11,3,0
Colapinto,Alpine,Sao Paulo,3,336.9508095050334,13,41,44,9,20,1
Albon,Williams,Monza,0,344.7912576564416,52,67,12,0,18,0
Verstappen,Red Bull,Abu Dhabi,17,161.98448792032053,61,74,60,5,13,1
Norris,McLaren,Suzuka,22,319.23849848588577,44,69,39,5,7,0
Bearman,Haas,Monza,7,168.63459343265973,22,61,65,11,14,1
Verstappen,Red Bull,Spa,15,195.28305846679808,44,92,38,2,20,0
Leclerc,Ferrari,Sao Paulo,2,167.88270697427905,80,96,3,4,12,0
Ocon,Haas,Sakhir,24,235.26620294502126,30,27,10,4,17,1
Sainz,Williams,Austin,10,170.70789518913605,10,8,52,11,5,0
Russel,Mercedes,Sao Paulo,23,265.42694948509546,32,91,54,3,20,1
Piastri,McLaren,Suzuka,24,280.132326182189,28,43,35,8,9,0
Alonso,Aston Martin,Shanghai,26,198.8916441455033,50,88,41,0,9,0
Antonelli,Mercedes,Miami,19,63.887148623911926,7,66,64,6,1,1
Stroll,Aston Martin,Austin,25,244.50891683734534,71,39,18,1,5,0
Leclerc,Ferrari,Monza,24,140.9335526839902,83,8,27,6,4,1
Ocon,Haas,Sakhir,3,132.64217690361437,27,22,32,0,15,1
Stroll,Aston Martin,Monza,5,201.1182359977671,85,6,54,10,4,0
Verstappen,Red Bull,Lusail,21,89.29811648058293,62,94,45,9,6,1
Norris,McLaren,Sakhir,16,324.61629652626584,22,4,22,11,10,0
Hulkenberg,Sauber,Mexico City,16,239.9947099784875,9,59,57,8,13,1
Lawson,Racing Bulls,Sakhir,26,247.12651068042186,67,69,60,8,3,1
Bortoleto,Sauber,Melbourne,15,172.8472552709261,29,67,9,4,11,0
Hulkenberg,Sauber,Abu Dhabi,27,337.5947919832006,59,2,24,1,13,1
Antonelli,Mercedes,Miami,12,76.75729681537608,61,21,15,4,4,1
Bortoleto,Sauber,Monaco,24,66.58186749280773,94,9,16,0,14,1
Gasly,Alpine,Mexico City,4,59.02651106470087,99,52,29,7,13,1
Alonso,Aston Martin,Monaco,7,231.57284337208827,8,79,50,11,11,1
Stroll,Aston Martin,Lusail,6,216.03718357475435,96,71,16,0,8,0
Russel,Mercedes,Abu Dhabi,24,196.23241178503037,70,3,2,1,17,1
Sainz,Williams,Mexico City,0,316.0571126783777,84,57,6,3,8,0
Colapinto,Alpine,Montreal,23,67.87891847804917,68,84,34,2,3,1
Bortoleto,Sauber,Jeddah,19,145.5380534497329,38,7,43,7,6,1
Hamilton,Ferrari,Monaco,4,288.5285335313602,50,74,1,1,17,0
Lawson,Racing Bulls,Austin,28,307.42134696047464,81,61,45,11,4,1
Colapinto,Alpine,Lusail,24,76.24987946512616,74,40,33,5,5,1
Hadjar,Racing Bulls,Baku,5,245.7312158103737,89,98,44,10,7,0
Russel,Mercedes,Barcelona,5,315.33144890943385,89,89,47,3,4,0
Verstappen,Red Bull,Spielberg,24,335.0555967437431,21,45,43,11,16,1
Colapinto,Alpine,Barcelona,25,120.93221530701514,96,42,44,11,16,1
Sainz,Williams,Spielberg,26,294.8304726148315,38,83,20,7,3,1
Gasly,Alpine,Miami,9,115.45537941699777,34,69,21,11,10,1
Gasly,Alpine,Las Vegas,21,237.46415167397836,43,16,47,2,5,0
Antonelli,Mercedes,Sao Paulo,13,312.65238196217757,20,11,2,0,3,0
Colapinto,Alpine,Silverstone,13,164.90765896407459,47,21,18,3,18,0
Norris,McLaren,Lusail,25,233.3821974846995,37,2,7,11,18,1
Stroll,Aston Martin,Spielberg,8,280.8642078076663,97,45,16,9,14,1
Colapinto,Alpine,Monaco,17,293.980867369394,16,55,36,1,13,1
Russel,Mercedes,Spa,27,186.0742941825659,90,40,62,8,1,1
Sainz,Williams,Monza,24,135.23208948960811,21,82,48,10,4,1
Verstappen,Red Bull,Montreal,14,67.79448547159312,89,77,63,4,2,1
Tsunoda,Red Bull Racing,Sakhir,0,162.44937521812074,55,3,54,3,15,0
Verstappen,Red Bull,Montreal,14,281.118441134544,66,30,51,6,4,0
Antonelli,Mercedes,Budapest,29,172.96248434123098,2,32,53,10,4,1
Gasly,Alpine,Melbourne,20,256.45485274598036,21,1,24,11,12,1
Hadjar,Racing Bulls,Baku,19,64.39742280503798,59,90,17,7,1,1
Ocon,Haas,Lusail,3,246.53817193838896,21,63,50,4,12,0
Leclerc,Ferrari,Sao Paulo,2,70.31669047083561,99,61,30,6,2,1
Antonelli,Mercedes,Lusail,9,134.30916869894534,17,64,11,11,1,1
Antonelli,Mercedes,Imola,2,62.727186509163026,96,32,46,5,17,1
Albon,Williams,Imola,0,181.4790264425806,0,57,57,2,1,0
Lawson,Racing Bulls,Sao Paulo,27,122.95777265022943,59,44,51,1,11,1
Hamilton,Ferrari,Monaco,27,264.9803622265258,7,83,16,2,14,1
Hamilton,Ferrari,Melbourne,3,310.23783639216856,80,26,24,5,17,0
Piastri,McLaren,Lusail,14,306.7206596773299,15,35,20,9,2,0
Bearman,Haas,Suzuka,3,280.0907701252555,46,77,51,6,3,0
Sainz,Williams,Sao Paulo,0,215.52108770397774,30,71,3,6,3,0
Bortoleto,Sauber,Budapest,7,228.97857245152667,1,0,38,8,13,1
Bortoleto,Sauber,Singapore,16,237.86616445565932,4,57,65,11,15,1
Ocon,Haas,Monza,15,63.05295740308322,91,51,62,3,3,1
Lawson,Racing Bulls,Sakhir,14,317.2199582333333,13,38,21,9,5,0
Tsunoda,Red Bull Racing,Singapore,29,58.25404804140467,10,45,10,3,14,1
Hulkenberg,Sauber,Spielberg,1,215.37958808610733,87,38,28,1,13,0
Norris,McLaren,Budapest,20,50.20432131085343,72,23,51,5,15,1
Hamilton,Ferrari,Shanghai,16,292.67214103566755,57,10,35,2,16,1
Stroll,Aston Martin,Monaco,17,297.56840261791007,1,38,46,4,16,1
Lawson,Racing Bulls,Baku,11,296.37675948059234,39,19,56,10,19,1
Sainz,Williams,Monza,13,110.3686305891328,81,9,46,6,13,1
Hadjar,Racing Bulls,Baku,14,174.51071035282018,29,57,19,5,15,0
Piastri,McLaren,Mexico City,11,202.08430610488244,93,34,49,2,18,0
Hulkenberg,Sauber,Spa,0,306.2416603058352,56,26,30,2,19,0
Hamilton,Ferrari,Budapest,10,239.7011306655551,8,60,24,6,16,1
Bearman,Haas,Budapest,12,281.5518868625604,79,31,42,6,4,0
Leclerc,Ferrari,Spa,27,184.8292372822856,18,92,20,3,19,1
Lawson,Racing Bulls,Austin,21,258.29064042609554,32,49,17,9,1,0
Sainz,Williams,Spielberg,24,316.3457951071051,51,29,33,10,16,1
Colapinto,Alpine,Singapore,13,223.86225800171044,55,30,55,8,5,0
Alonso,Aston Martin,Monaco,24,247.5179077185847,2,67,6,11,9,1
Hulkenberg,Sauber,Austin,15,133.8319008775074,82,98,20,5,19,1
Hadjar,Racing Bulls,Mexico City,17,218.51761130865094,71,13,64,11,14,1
Verstappen,Red Bull,Montreal,28,179.95126548383317,58,89,55,0,8,0
Leclerc,Ferrari,Shanghai,12,202.88012400771984,86,26,32,2,8,0
Lawson,Racing Bulls,Mexico City,13,187.9391695777506,8,9,47,8,5,0
Leclerc,Ferrari,Lusail,28,155.84640875244557,59,56,18,3,9,0
Bearman,Haas,Miami,12,318.69065286232717,28,33,65,8,5,0
Alonso,Aston Martin,Austin,18,302.81866490929076,44,8,29,7,3,0
Hadjar,Racing Bulls,Zandvoort,27,337.21434848381296,29,99,26,0,2,0
Russel,Mercedes,Spa,22,265.20563387245363,91,77,15,3,17,1
Bortoleto,Sauber,Las Vegas,16,344.57428085212956,75,3,12,6,8,0
Hadjar,Racing Bulls,Spa,15,126.70515800729983,79,43,20,3,19,1
Tsunoda,Red Bull Racing,Singapore,2,218.40646669532597,75,65,50,5,5,0
Antonelli,Mercedes,Lusail,9,87.09709357934842,79,24,55,0,6,1
Leclerc,Ferrari,Miami,9,143.84472178184794,67,52,9,3,5,1
Gasly,Alpine,Suzuka,4,285.6312439997663,16,49,32,3,7,0
Hamilton,Ferrari,Melbourne,20,157.09893520126766,23,67,57,3,7,0
Gasly,Alpine,Melbourne,10,236.37675886284723,49,74,34,9,19,1
Sainz,Williams,Spielberg,25,155.59464305287554,86,53,47,0,3,0
Sainz,Williams,Lusail,1,292.8286594704926,40,25,52,0,14,0
Bortoleto,Sauber,Singapore,7,181.5318652949309,26,5,10,10,12,1
Piastri,McLaren,Jeddah,8,86.74506168361434,47,49,15,6,1,1
Stroll,Aston Martin,Austin,29,258.7524858895086,13,72,14,3,2,0
Piastri,McLaren,Abu Dhabi,18,176.94386046143433,16,15,50,1,9,0
Russel,Mercedes,Zandvoort,25,312.05672523836347,65,34,36,3,6,0
Colapinto,Alpine,Jeddah,15,225.82891971341456,39,15,30,5,4,0
Hadjar,Racing Bulls,Melbourne,22,290.2850825428528,48,17,31,8,4,0
Sainz,Williams,Austin,18,300.32126242937437,98,24,1,6,16,1
Gasly,Alpine,Baku,19,323.9225903959371,66,31,52,1,8,0
Russel,Mercedes,Imola,26,80.75187007019927,94,61,32,0,9,1
Ocon,Haas,Silverstone,0,212.51922108417526,0,75,38,1,9,0
Lawson,Racing Bulls,Silverstone,12,295.99515322307707,17,30,35,2,9,0
Hadjar,Racing Bulls,Abu Dhabi,14,283.7690650467616,31,7,20,6,2,0
Verstappen,Red Bull,Zandvoort,5,122.44096678738796,26,69,62,1,15,1
Leclerc,Ferrari,Budapest,22,131.62844947207316,75,68,46,3,16,1
Ocon,Haas,Baku,1,206.06117132068582,71,51,19,2,17,0
Norris,McLaren,Las Vegas,22,95.35417429060521,46,3,4,6,12,1
Albon,Williams,Melbourne,23,194.28035533240384,97,38,8,10,10,0
Verstappen,Red Bull,Las Vegas,9,334.2871571750909,1,32,59,2,16,0
Alonso,Aston Martin,Spa,29,152.241105132207,77,64,47,6,13,1
