pilot_name,team_name,track_city,dnf_percent,avg_speed,collision
8,9,23,3,294.07548759695266,0
5,5,0,15,217.10584610574176,0
13,13,1,18,180.815237151742,0
4,5,3,23,262.8393162283683,0
4,5,10,11,86.08327352273434,1
9,9,12,23,279.28021884931906,0
4,5,19,6,88.206400845333,1
19,19,22,20,210.3955651759109,0
14,15,8,27,59.4385228682267,1
3,3,9,20,274.28673808592725,0
13,13,8,17,53.57661958718597,1
2,3,14,5,97.6131557939688,1
0,0,21,20,213.48921753974508,0
14,15,10,3,224.3026963904676,0
3,3,21,10,219.96231071552117,0
2,3,17,12,53.541963586937726,1
6,7,12,8,184.4380006626793,0
2,3,9,27,194.94720816889097,0
0,0,8,0,267.76039018982357,0
12,13,7,11,146.02999033058563,1
11,11,3,16,156.60813790506518,0
9,9,15,26,264.3776801297935,0
13,13,16,17,253.06778919721555,0
6,7,14,23,347.2255205453521,0
5,5,21,22,263.41185181553504,0
11,11,21,1,167.03374723113708,0
19,19,20,26,335.9806604604495,0
0,0,18,0,331.97603992041564,0
12,13,0,2,345.03704206679674,0
16,17,4,11,168.29354241033346,0
14,15,7,2,66.43934060079675,1
13,13,2,5,265.1266112092952,0
14,15,21,8,156.69365499479815,0
0,0,22,11,339.87649294996294,0
18,19,1,8,68.75649142189309,1
11,11,10,23,339.5549225372931,0
13,13,4,10,268.6952745075532,0
13,13,21,29,228.8630882381723,0
6,7,10,1,100.03450806216428,1
12,13,7,14,180.88422134709867,0
16,17,10,24,205.4984646385109,0
15,15,14,26,252.27789067834337,0
18,19,23,1,268.41159531951706,0
5,5,18,6,104.0918338001968,1
2,3,8,5,266.59715737213185,0
6,7,20,2,168.29733710058713,0
19,19,6,19,55.62230981897017,1
3,3,18,24,75.48632528733033,1
14,15,14,10,113.28069096117028,1
14,15,11,14,155.79032180135636,0
3,3,11,0,291.8273201235168,0
8,9,20,0,111.1020300502276,1
7,7,4,0,240.28879922977444,0
15,15,10,21,196.1163855027943,0
13,13,14,9,346.53120956074116,0
12,13,7,14,171.4204932586782,0
15,15,10,22,228.55025780743347,0
6,7,13,18,60.50769924400652,1
13,13,2,18,138.32588655233872,1
15,15,5,5,134.97987290397893,1
1,1,12,25,136.31644039530016,1
18,19,11,6,275.10371047145213,0
17,17,21,8,65.59249784855953,1
10,11,22,8,256.88032267751885,0
12,13,9,13,135.7979556297797,1
11,11,6,9,288.2403799358031,0
17,17,4,11,171.16684962424074,0
7,7,10,8,135.9373198889638,1
19,19,17,15,158.0605449058793,0
17,17,19,10,131.92385065390332,1
15,15,2,17,271.8487451961135,0
8,9,1,1,265.45614096934395,0
8,9,14,1,58.729187488508714,1
15,15,3,14,102.73195871933936,1
3,3,19,29,77.19315595703777,1
5,5,18,14,87.4820234035718,1
0,0,19,5,202.26357110290417,0
3,3,19,17,97.44873925282972,1
14,15,14,8,137.04778185479276,1
4,5,6,0,310.1425323071516,0
16,17,4,5,141.07842268016825,1
18,19,19,27,129.1624735564758,1
5,5,5,18,218.4592639151017,0
2,3,16,15,212.74809883885263,0
8,9,2,9,239.9218786332764,0
7,7,17,24,341.0301093226232,0
7,7,23,26,108.46359273478576,1
12,13,23,16,167.98245310410326,0
10,11,6,18,310.7178517143251,0
18,19,14,19,329.82767015856945,0
0,0,6,20,146.19465317636468,1
2,3,22,24,272.37449748039506,0
14,15,11,9,171.21456479895693,0
6,7,13,28,188.36264531231,0
18,19,9,23,100.92426495940452,1
6,7,11,21,239.84640882807287,0
15,15,1,29,175.05844160474405,0
14,15,6,19,259.080367432863,0
11,11,19,3,135.78389235835124,1
19,19,20,3,275.48912149099726,0
12,13,16,7,112.58687510334906,1
14,15,16,6,348.8516810630509,0
0,0,8,27,194.36028358605907,0
6,7,0,10,150.95818708203396,0
15,15,0,9,149.4100551797105,1
3,3,16,5,224.76331524407485,0
3,3,1,25,215.92387052981917,0
9,9,7,25,75.18043117768312,1
8,9,4,16,253.7479789263223,0
6,7,8,10,59.3784383233101,1
11,11,18,9,310.9499457501499,0
15,15,14,29,244.05673451862265,0
9,9,5,19,310.90690711444375,0
13,13,4,28,267.61895650726217,0
17,17,3,18,150.44401728554894,0
5,5,18,24,239.11437980409107,0
5,5,4,11,234.99889247156463,0
6,7,5,14,152.92446492790137,0
19,19,5,25,207.99803134460677,0
3,3,18,8,192.89681628249988,0
16,17,2,13,224.6018145630003,0
19,19,18,5,50.45171736620553,1
12,13,15,7,204.75806527548212,0
12,13,3,29,111.91370967121884,1
19,19,2,8,265.20354627703387,0
7,7,6,16,341.06092454825784,0
16,17,0,28,189.3443181874047,0
12,13,8,17,216.0728235040528,0
19,19,4,23,120.5518743780936,1
12,13,9,16,215.26191325997584,0
13,13,4,5,283.59917755155766,0
11,11,22,17,140.116886648646,1
5,5,14,6,278.11054139514835,0
18,19,11,10,149.37143850809835,1
0,0,2,11,329.96325718658255,0
17,17,6,10,232.02526659265783,0
5,5,15,2,100.1086860379502,1
16,17,4,13,187.4675306419163,0
9,9,1,1,99.42284898115756,1
10,11,21,5,142.67730235871656,1
16,17,3,6,231.7551131992172,0
13,13,10,26,84.76487990866175,1
19,19,8,18,205.8752552850087,0
1,1,4,18,184.34641629247605,0
7,7,4,19,315.3631815844977,0
12,13,11,2,223.66233534172855,0
0,0,22,3,58.61772987440968,1
19,19,2,18,152.884933353505,0
14,15,13,25,145.1494656472362,1
1,1,16,29,221.23596354399783,0
0,0,23,27,156.54906124372187,0
3,3,17,13,144.55498664224797,1
2,3,9,21,71.19237762493853,1
16,17,3,25,90.6839283384414,1
5,5,3,26,337.95698534785845,0
12,13,15,6,335.8407713060709,0
19,19,11,4,343.12133276181123,0
7,7,8,26,184.1401654823158,0
3,3,14,6,152.7970124717645,0
13,13,17,12,343.79989612887965,0
8,9,9,25,206.81801348513315,0
17,17,19,29,257.728370530141,0
6,7,3,29,53.487678141254314,1
1,1,10,8,215.14118503810164,0
10,11,22,28,251.74980812295857,0
2,3,12,18,131.53806854831177,1
7,7,17,13,206.39133130988404,0
12,13,3,22,236.60805060999425,0
17,17,15,13,310.15129111745216,0
17,17,5,27,342.09777475398784,0
15,15,10,17,258.84854386987206,0
16,17,20,14,348.57051854879126,0
14,15,16,7,243.596555101322,0
9,9,23,6,213.6760534749477,0
15,15,20,7,216.95980951700852,0
14,15,17,5,336.9183631886064,0
5,5,18,15,110.97037328515223,1
9,9,1,22,150.63722948520223,0
7,7,6,17,215.85806790958324,0
5,5,0,20,211.1919775017404,0
15,15,10,25,121.10688669577534,1
12,13,21,27,169.23774574994408,0
10,11,7,16,299.67801392993175,0
1,1,5,6,320.18823201570024,0
8,9,11,9,225.23219129394369,0
1,1,3,1,319.25792795852374,0
12,13,6,6,211.51573712032732,0
15,15,4,5,73.54560030311768,1
15,15,12,20,217.90794701727367,0
17,17,15,25,278.99327596164125,0
12,13,8,3,272.1013783051937,0
0,0,8,15,218.90931275549863,0
18,19,15,14,83.10887759893546,1
12,13,12,28,266.01170175856083,0
14,15,18,5,59.85576504410282,1
0,0,10,5,79.12252838870633,1
13,13,21,25,102.606071385874,1
14,15,9,8,236.2362094388727,0
13,13,2,12,85.31426176818087,1
19,19,23,8,66.7157388236744,1
11,11,10,18,237.30520048286027,0
18,19,9,4,345.37435785318553,0
17,17,8,15,277.8590291581686,0
14,15,7,5,311.67614825024003,0
18,19,17,10,280.98051829679423,0
11,11,22,24,211.16620978016692,0
9,9,16,3,153.38672921931104,0
13,13,2,14,236.71186393382385,0
2,3,7,7,236.5054042586211,0
0,0,23,29,140.9169924646221,1
10,11,18,20,272.45546171608055,0
12,13,10,13,315.04067265645455,0
17,17,9,23,291.31830271262396,0
18,19,7,20,310.06298662590694,0
6,7,20,21,54.14339475119176,1
19,19,17,6,227.8101122986194,0
19,19,20,11,213.36874787803615,0
9,9,2,5,302.38883350635575,0
6,7,10,21,66.7956029251499,1
18,19,21,16,131.70369930365746,1
0,0,12,21,212.20064060774607,0
11,11,20,0,65.02605821306379,1
3,3,18,15,253.53126659336732,0
8,9,15,23,157.0300309118324,0
15,15,5,1,211.44637282792996,0
12,13,6,10,179.64826716078585,0
16,17,3,20,264.9984136102264,0
7,7,0,13,134.40962083742403,1
4,5,4,14,279.3394189077822,0
14,15,2,12,80.44307846735384,1
13,13,3,0,343.129084777132,0
0,0,6,13,66.85949599825923,1
4,5,11,5,258.66009730951356,0
4,5,3,3,192.257260530586,0
16,17,23,19,76.26613471859456,1
1,1,20,8,97.10694877421837,1
19,19,20,23,217.3175736753924,0
5,5,5,18,334.86728733665547,0
5,5,20,11,227.1742400367664,0
15,15,16,29,243.99299148028553,0
12,13,15,29,218.43969033622295,0
13,13,17,4,61.467876444452926,1
2,3,5,12,167.0711637745748,0
3,3,4,10,131.67587250525716,1
17,17,16,25,95.76398989664344,1
4,5,3,25,213.94985848969137,0
19,19,3,4,332.66252812562414,0
14,15,18,23,84.89337092988471,1
17,17,23,11,163.0378495613314,0
12,13,17,24,224.080478240343,0
13,13,16,3,211.43663915581843,0
2,3,4,25,253.2546068963819,0
11,11,21,8,214.5028912239158,0
18,19,6,27,290.8978910625126,0
16,17,2,19,141.38746014344432,1
19,19,14,18,207.2830792023226,0
3,3,5,24,307.5472382149455,0
12,13,15,7,66.5307318620093,1
17,17,18,2,82.0628993433459,1
0,0,21,27,213.81028642321104,0
12,13,10,13,263.03848089200676,0
18,19,20,4,75.53766147121067,1
19,19,13,3,50.522545451346915,1
14,15,2,29,220.64549097275503,0
3,3,0,1,251.32216385421592,0
9,9,14,5,339.47925164654447,0
3,3,8,6,223.76128598362,0
16,17,21,0,113.44230334969146,1
19,19,21,29,119.9106895804434,1
13,13,20,5,280.7597521951337,0
0,0,8,25,192.40199766649928,0
1,1,11,28,188.0193368004254,0
15,15,3,14,124.25216500211803,1
10,11,1,20,272.0279754639749,0
7,7,3,11,227.99791294583113,0
0,0,11,0,162.46090255388066,0
14,15,23,2,170.7300287333001,0
3,3,22,20,304.07134552446513,0
1,1,10,16,259.50455853374217,0
18,19,11,4,234.72533053579713,0
9,9,22,27,136.02478451234435,1
1,1,22,29,187.3417494253769,0
4,5,15,15,186.82955723766491,0
6,7,16,27,265.9865445059806,0
14,15,5,26,250.18090605039137,0
10,11,10,29,83.3065385490825,1
13,13,2,10,65.4858022553478,1
9,9,8,25,78.42445586314183,1
6,7,18,16,324.19418237079765,0
15,15,6,2,342.96581583597913,0
8,9,16,12,111.28215068514612,1
4,5,18,15,330.76592113978984,0
18,19,8,9,59.2710555740257,1
0,0,2,4,257.7276169544927,0
1,1,12,2,162.49797025628894,0
8,9,19,0,56.19048973369928,1
4,5,1,29,200.6196351553141,0
7,7,3,3,50.82184953707244,1
11,11,8,6,159.03677672971483,0
5,5,4,4,154.0066716859682,0
11,11,23,20,211.23901449937003,0
10,11,15,2,181.5600181391909,0
1,1,20,16,131.69213764431584,1
8,9,21,17,199.45655099751505,0
13,13,12,4,176.49675757332878,0
13,13,6,22,343.7373426477306,0
5,5,9,15,203.91622619737652,0
13,13,18,19,115.55060369122744,1
5,5,11,8,230.48802277157395,0
0,0,23,12,322.56336298789535,0
4,5,17,29,186.04532753973209,0
19,19,10,28,72.67426904665875,1
