pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,rain_forecast,collision
18,19,13,5,340.43087761222216,76,54,63,11,13,1,1
17,17,15,29,108.68134169873392,12,62,65,3,4,0,1
10,11,21,21,142.02293599320342,6,92,45,8,2,0,1
6,7,4,14,278.99117388725335,92,48,52,10,20,1,1
10,11,11,10,74.20644078491361,45,40,48,0,12,0,1
12,13,17,17,145.96611168871453,30,96,55,0,10,0,1
0,0,0,29,138.12332465066083,59,79,38,6,10,1,1
13,13,8,27,343.06332000423356,46,50,26,2,2,0,0
13,13,8,9,240.89595656225305,37,22,52,6,19,1,1
17,17,18,20,246.267176473601,87,5,18,6,19,0,1
13,13,9,29,235.77826964441147,98,67,3,8,3,1,1
3,3,9,29,142.20730474169935,51,44,55,7,13,0,1
5,5,18,8,276.9451976197489,41,41,27,8,18,1,1
15,15,3,17,135.93646028251612,98,37,48,10,2,0,1
9,9,20,2,62.19175595714028,27,94,60,0,3,0,1
0,0,1,18,154.58966436906465,8,4,29,5,17,1,1
16,17,23,27,301.07052921806223,11,89,39,3,14,1,1
3,3,1,12,271.4271102310462,53,88,25,6,8,1,1
4,5,0,28,125.03821013500564,39,89,25,7,10,0,1
3,3,5,13,329.08942060713116,85,17,52,8,8,1,1
3,3,6,1,230.62903124105455,54,72,36,9,17,0,1
1,1,5,5,229.0317057065276,32,94,21,0,2,1,0
0,0,23,17,128.24219845691007,59,80,64,3,6,1,1
10,11,0,3,198.7874362529498,91,99,37,11,6,0,0
9,9,22,2,325.4018073636123,87,92,7,10,2,1,1
10,11,10,18,69.31164137438275,2,76,28,7,16,1,1
11,11,13,0,86.15227769178543,3,54,23,10,20,1,1
13,13,3,15,130.60770852829216,56,84,42,8,4,1,1
9,9,13,25,120.7820440836223,4,28,12,3,1,0,1
5,5,8,27,224.49645798926173,69,20,50,10,14,0,1
8,9,8,4,109.5232286513102,14,35,7,4,5,1,1
12,13,23,14,258.42857950108396,86,75,62,2,3,1,1
0,0,18,7,157.4506752727231,54,18,47,11,8,1,1
13,13,21,2,151.14859979542686,90,92,54,7,7,1,1
0,0,9,19,81.21515355104174,14,12,13,2,6,0,1
7,7,14,18,73.84051936560246,16,75,44,9,1,1,1
10,11,1,3,288.41435316745066,65,2,53,3,8,1,0
7,7,21,1,141.0673397505048,56,13,43,0,19,1,1
0,0,22,10,101.7121475222869,72,98,40,5,2,1,1
13,13,0,22,247.49406282013965,9,83,6,10,14,0,1
10,11,17,2,102.53960244411184,66,41,61,6,1,0,1
13,13,23,23,235.6284042485348,29,76,1,9,9,0,0
11,11,9,2,167.75069203301615,93,41,23,11,5,0,0
19,19,4,21,144.8232933720965,79,80,49,3,3,0,1
17,17,7,11,209.8369882874556,78,32,17,7,3,1,1
2,3,12,16,65.93881312502334,46,51,36,1,17,0,1
