pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,collision
9,9,4,13,306.74345454994716,34,27,18,0
3,3,23,11,112.40747990714956,74,93,22,1
4,5,8,1,331.9908604939846,94,76,31,0
0,0,21,5,295.88828436516104,30,73,6,0
13,13,7,2,195.39346236632664,89,29,59,0
17,17,9,23,67.90168429847688,38,45,51,1
15,15,17,2,290.7431480165926,87,19,12,0
7,7,12,5,144.88064314132026,37,9,21,1
16,17,5,1,99.40534283215526,14,54,37,1
9,9,5,29,329.2026269885617,21,52,15,0
15,15,8,23,112.78552235166607,19,79,36,1
7,7,21,28,60.79278416153843,86,84,55,1
14,15,14,25,100.5520209148342,35,20,64,1
9,9,16,5,240.71750562768537,37,28,45,0
7,7,0,18,283.1825121136699,94,6,48,0
10,11,18,1,86.2255555404173,87,81,39,1
13,13,8,0,235.9314543657317,82,21,24,0
16,17,23,2,306.8158955129838,64,73,17,0
18,19,14,16,188.3901787455168,88,40,31,0
4,5,1,6,295.7213724597326,46,46,54,0
10,11,22,29,213.14778665293105,23,83,3,0
8,9,7,23,123.32053035242396,80,29,57,1
15,15,19,5,312.6072713008429,20,18,23,0
0,0,6,16,276.68411914262526,7,91,32,0
12,13,1,22,223.82676830489777,28,25,46,0
10,11,17,5,295.9622313946288,2,68,17,0
14,15,14,3,240.40994828418337,41,66,29,0
15,15,20,2,308.50556265795075,3,21,38,0
14,15,22,11,222.6842592804854,9,7,47,0
0,0,10,15,276.3749798186375,33,69,20,0
13,13,19,5,294.4557716384931,74,65,47,0
16,17,6,7,319.0137322712317,93,65,24,0
15,15,21,12,150.99409344048868,67,43,31,0
9,9,11,10,147.88151471503727,7,23,30,1
17,17,4,3,315.82276583345265,90,45,17,0
16,17,18,23,234.30640992598623,22,39,59,0
16,17,9,21,92.50029819525643,27,42,56,1
9,9,12,6,164.91504613417828,11,35,40,0
18,19,21,27,77.80785153368991,23,29,54,1
11,11,20,4,285.77853223255323,13,93,32,0
4,5,9,19,344.929313573378,53,58,37,0
10,11,4,8,348.3582396771984,29,94,65,0
10,11,1,27,184.56584959407223,49,99,45,0
1,1,13,8,87.25417443665877,19,81,1,1
9,9,4,7,186.29486234134149,72,73,47,0
5,5,8,12,69.29946660520142,57,60,6,1
10,11,11,21,203.336600455159,3,73,56,1
12,13,7,4,251.56694916538416,81,25,59,0
5,5,1,26,59.06557537364516,44,80,28,1
19,19,20,10,325.8334598673547,61,79,63,0
9,9,17,17,211.40053361891893,62,69,61,0
17,17,5,3,346.4014521911185,70,65,37,0
10,11,14,29,117.5556427884397,46,75,48,1
14,15,3,16,180.4244175481824,89,56,3,0
9,9,9,7,336.0143222703009,32,68,43,0
8,9,3,26,118.81630472268692,37,68,29,1
14,15,22,2,279.14294000290676,41,41,56,0
5,5,0,12,258.4092403341228,99,56,57,0
17,17,3,29,139.877548813642,32,36,52,1
12,13,20,4,213.7776938334706,93,98,20,0
5,5,10,27,111.10527277110036,5,77,35,1
0,0,18,7,196.58766283817607,33,1,59,0
0,0,23,6,79.6673150527589,89,5,33,1
4,5,0,18,287.1206441727533,57,38,3,0
4,5,10,22,286.12094144747135,41,18,47,0
19,19,8,17,87.880122351116,8,9,53,1
