pilot_name,team_name,track_city,dnf_percent,avg_speed,collision
12,13,1,7,176.533138155671,0
5,5,18,6,338.9370053986873,0
0,0,11,17,166.07694610540173,0
1,1,16,12,266.0825507646953,0
9,9,10,11,64.69356035004151,1
15,15,9,6,172.7437870256255,0
7,7,4,8,278.1751901633557,0
15,15,9,6,242.86780728567663,0
19,19,8,12,165.22872809546317,0
7,7,3,2,245.5109407552205,0
6,7,3,12,292.04282010568755,0
5,5,5,24,336.1579614954846,0
16,17,6,6,189.0727093750457,0
5,5,15,16,311.5011684040599,0
8,9,3,13,224.6402340859557,0
8,9,22,27,255.6166721952145,0
17,17,23,20,118.07942046465838,1
1,1,21,26,204.19786420000813,0
3,3,2,23,235.57179280163191,0
2,3,9,5,309.0362612123252,0
16,17,5,27,323.0578333147741,0
9,9,8,1,88.62098883826289,1
15,15,5,2,193.16986932725996,0
2,3,4,24,320.3250582335921,0
1,1,12,11,331.24009424003907,0
11,11,14,4,77.3832011981999,1
5,5,3,13,299.97514523815903,0
19,19,17,28,151.55123784936814,0
15,15,3,19,202.69913850269495,0
13,13,0,29,175.53502468124685,0
2,3,23,0,70.37138736731346,1
3,3,14,15,333.212173876463,0
2,3,11,23,96.91074866972473,1
12,13,12,14,231.11129814521104,0
13,13,2,25,107.16443094290456,1
3,3,13,19,69.66205068751087,1
4,5,15,6,327.9397215578251,0
6,7,5,19,92.3515028559759,1
11,11,9,18,215.98932787995668,0
6,7,22,25,293.39680733963127,0
15,15,4,14,221.80149989629916,0
1,1,16,26,56.56242344101861,1
10,11,11,10,119.17341282127386,1
4,5,14,19,116.55297737672436,1
8,9,12,12,324.09682982245477,0
6,7,6,6,78.02568083609584,1
5,5,0,18,136.4206733887593,1
2,3,22,27,333.08049269525975,0
11,11,10,9,244.98790335182505,0
17,17,14,18,196.93430145338223,0
15,15,16,16,148.39291797746097,1
2,3,19,16,292.8528555406958,0
7,7,3,15,190.19549349990925,0
15,15,3,22,173.69984162316456,0
13,13,23,6,186.62736872332783,0
13,13,13,0,344.63001821317,0
13,13,13,15,259.7097869258857,0
0,0,8,26,51.421973383336415,1
1,1,8,8,240.57975978233856,0
0,0,7,3,327.07773284847264,0
7,7,0,26,288.5238052822175,0
15,15,4,3,186.73411107476176,0
19,19,12,4,120.26122909929984,1
2,3,21,4,199.7685723373519,0
3,3,13,7,173.187360090227,0
11,11,9,9,66.81463947854033,1
6,7,22,3,97.64211349550732,1
18,19,0,11,128.24071444569327,1
0,0,19,3,290.40108607500935,0
15,15,1,14,237.47732135033087,0
14,15,18,5,80.30795758008423,1
3,3,11,11,171.43848464629912,0
10,11,16,6,91.23813135384738,1
5,5,7,6,266.4824115353235,0
3,3,17,12,138.11559590461334,1
9,9,0,27,117.79321201151606,1
3,3,14,19,73.49474625927581,1
7,7,1,23,103.23270032523008,1
4,5,2,20,272.1904244758793,0
2,3,20,18,95.16787917216824,1
12,13,16,26,156.05052561506005,0
10,11,18,21,152.93245054141224,0
18,19,9,8,325.1608578091605,0
12,13,17,2,249.33136217506257,0
11,11,19,9,82.46482699290071,1
10,11,7,11,129.27732493300064,1
17,17,17,28,217.46131963118287,0
11,11,14,0,329.9284250405164,0
