pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,rain_forecast,collision
16,17,19,5,263.99069131774377,34,16,1,10,18,1,1
1,1,5,20,76.40532887722505,18,25,51,6,3,1,1
2,3,4,22,246.2313227015229,9,55,61,10,16,0,1
11,11,0,2,77.57605408714763,26,80,39,0,9,1,1
5,5,17,5,58.714289287243496,9,71,36,9,3,1,1
7,7,19,13,132.8871451310764,80,81,5,4,1,1,1
2,3,8,23,189.96324678589255,37,47,54,1,16,0,1
12,13,23,5,87.0647714420692,22,79,3,5,7,0,1
2,3,0,1,286.9819201752789,1,2,39,1,8,0,0
19,19,13,0,62.19720674837379,45,5,12,3,14,1,1
2,3,18,4,250.00173766315092,82,7,8,8,5,1,1
10,11,15,15,149.1742679886933,46,23,57,11,14,0,1
0,0,1,8,125.63164020073116,87,91,44,9,12,1,1
10,11,7,27,285.9038392841369,69,14,61,4,7,0,0
15,15,22,15,286.9411442657812,0,46,19,1,14,1,1
10,11,9,25,256.5661824596647,3,38,29,0,19,0,1
17,17,12,3,73.03128798798963,15,15,54,4,20,0,1
14,15,10,27,68.53798783730566,34,95,30,7,10,1,1
13,13,18,16,259.8594231387407,45,59,12,9,6,0,0
4,5,18,28,63.90697872701754,82,32,5,10,18,0,1
19,19,17,2,173.1375952331582,60,58,1,8,18,1,1
12,13,21,24,238.8048418927315,85,54,34,5,12,0,1
17,17,6,28,282.1893495977436,60,15,54,0,15,1,1
18,19,17,6,96.4788696384292,85,8,64,3,19,1,1
14,15,8,14,145.9367008943738,81,28,25,9,12,0,1
11,11,20,10,160.5097833215118,5,99,40,1,20,1,1
1,1,19,12,82.93735164121193,79,2,15,11,17,0,1
16,17,7,7,273.47567946702844,88,59,14,9,19,1,1
10,11,7,14,248.21362194687617,82,66,56,5,15,0,0
3,3,16,16,232.3807965238964,30,98,60,1,2,1,1
2,3,6,9,108.27238996920198,92,83,28,5,5,0,1
14,15,2,24,274.12481530656845,97,88,1,7,9,1,1
2,3,18,21,336.18569190093683,10,41,29,5,4,0,0
15,15,9,27,276.3899876345338,49,51,45,9,11,0,1
3,3,12,19,309.26778335632247,61,35,56,0,13,0,1
6,7,8,12,121.81190579662628,91,50,21,8,17,0,1
11,11,0,26,223.83019864152,19,77,21,11,8,0,1
0,0,15,24,124.79831816658547,96,17,57,0,20,0,1
3,3,2,4,313.08531930133825,67,57,24,11,13,0,1
7,7,12,19,249.02619727566093,7,9,51,6,8,1,1
7,7,22,3,282.0811856505823,17,46,42,6,13,0,1
4,5,14,29,122.03856061909268,81,28,36,0,4,1,1
18,19,9,1,115.1054866932468,52,35,30,4,8,0,1
18,19,6,19,60.848862733258656,13,37,27,7,13,1,1
6,7,0,26,216.838158453904,16,56,57,4,13,1,1
16,17,23,6,304.613000536817,20,40,32,6,8,0,0
16,17,5,7,200.86215124275176,70,23,13,7,5,1,1
17,17,18,22,66.10573869959565,87,99,47,8,5,1,1
9,9,5,15,177.63981034786838,11,16,3,3,17,0,0
18,19,14,18,181.83700689218136,23,46,4,0,15,0,1
17,17,12,13,321.527300371242,84,21,32,11,18,1,1
2,3,23,25,128.42541215932292,48,20,33,7,15,0,1
6,7,16,13,160.175154554518,11,38,24,1,5,0,0
13,13,13,13,229.95575724907084,52,28,61,1,11,0,0
10,11,18,27,172.52902110565168,78,91,7,8,8,1,1
16,17,22,25,178.84576864411105,29,44,28,9,4,1,1
2,3,1,9,112.7988616528172,16,24,17,10,16,0,1
16,17,2,11,179.39640176536918,55,70,20,8,6,1,1
10,11,21,0,296.72046454256946,58,56,51,4,17,0,0
15,15,12,10,296.3131123917796,9,56,32,7,19,0,1
2,3,12,20,50.097209257059546,15,14,40,4,16,1,1
12,13,19,28,119.33227290212064,34,42,29,6,16,0,1
9,9,17,5,336.1064798079805,18,59,65,8,8,0,0
2,3,14,18,181.90559099343895,68,51,56,3,6,0,0
11,11,6,12,167.8896297667672,33,14,24,1,1,1,1
15,15,5,1,237.9571745820475,2,38,27,8,15,0,1
3,3,21,14,312.6143429022701,72,19,1,2,9,1,1
2,3,0,3,198.24861808802737,73,55,65,1,9,1,0
17,17,8,3,77.2131243806562,91,72,61,4,11,1,1
