pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,collision
Russel,Mercedes,Baku,20,344.6999913791668,56,18,37,3,10,0
Bortoleto,Sauber,Suzuka,22,227.54097489329672,78,65,26,6,16,1
Norris,McLaren,Monaco,11,213.45084166236362,44,67,20,11,19,1
Leclerc,Ferrari,Sao Paulo,0,241.06766644030964,9,82,7,7,11,1
Hulkenberg,Sauber,Montreal,25,299.1937084861536,40,39,19,7,5,0
Ocon,Haas,Monza,11,80.45637909273844,16,55,58,0,8,1
Ocon,Haas,Austin,6,160.85910247895106,27,97,7,4,4,0
Tsunoda,Red Bull Racing,Las Vegas,20,187.77200032510075,41,58,47,1,15,1
Ocon,Haas,Montreal,15,139.42579318647475,82,67,9,8,17,1
Bearman,Haas,Imola,18,177.51551287310068,38,87,59,0,1,0
Piastri,McLaren,Singapore,2,292.3842021176818,95,76,22,0,4,0
Hadjar,Racing Bulls,Imola,12,230.2998084867418,1,9,27,11,18,1
Hadjar,Racing Bulls,Suzuka,7,135.92196235325017,22,55,25,4,11,1
Piastri,McLaren,Imola,14,257.9897797981721,53,33,29,0,15,0
Stroll,Aston Martin,Budapest,28,53.05445067972856,26,19,18,10,18,1
Ocon,Haas,Shanghai,4,237.9362772802869,51,47,1,3,18,0
Tsunoda,Red Bull Racing,Spielberg,25,236.74018124158502,95,86,32,0,5,0
Antonelli,Mercedes,Spa,7,234.95485362080757,25,54,43,3,17,0
Norris,McLaren,Abu Dhabi,10,346.74701101458004,30,89,58,4,16,0
Alonso,Aston Martin,Baku,26,213.02112573166605,77,3,29,11,17,1
Bortoleto,Sauber,Jeddah,0,266.5756123216266,37,49,14,9,8,0
Norris,McLaren,Suzuka,6,205.77302814699848,12,88,59,10,18,1
Hulkenberg,Sauber,Lusail,9,128.47681412675988,26,35,27,7,17,1
Piastri,McLaren,Singapore,15,261.18248942190866,16,9,21,0,15,0
Colapinto,Alpine,Las Vegas,0,312.7897710977678,49,52,32,5,12,0
Tsunoda,Red Bull Racing,Lusail,8,165.54034366873591,34,46,18,6,8,0
Tsunoda,Red Bull Racing,Mexico City,23,328.64992027339343,98,0,30,1,3,0
Bearman,Haas,Las Vegas,17,273.15429792094915,88,35,1,8,19,1
Ocon,Haas,Zandvoort,17,106.4016209406,74,79,47,5,11,1
Russel,Mercedes,Monaco,20,343.07920357778966,66,99,9,10,3,0
Albon,Williams,Sao Paulo,12,83.66635883432895,24,97,41,7,14,1
Antonelli,Mercedes,Mexico City,18,110.33975947544575,39,89,32,2,11,1
Piastri,McLaren,Imola,12,218.3611338866689,6,37,49,0,15,0
Hadjar,Racing Bulls,Lusail,26,225.0692332442813,75,54,59,2,9,0
Antonelli,Mercedes,Shanghai,14,130.62533997892666,63,43,2,11,18,1
Ocon,Haas,Miami,11,121.19431607336362,2,90,37,4,20,1
Verstappen,Red Bull,Miami,6,319.8119163192764,64,97,61,11,18,1
Hamilton,Ferrari,Shanghai,8,53.19682998620882,52,20,32,9,14,1
Albon,Williams,Sakhir,28,113.7877841774288,67,20,35,8,17,1
