pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,collision
3,3,19,3,267.79012632272645,43,91,19,0
14,15,1,10,72.9407372410114,22,16,11,1
8,9,11,13,185.9803891858564,25,10,32,0
10,11,9,24,301.8583378551763,83,16,38,0
9,9,9,23,95.05889286307028,34,21,19,1
17,17,0,14,104.2408067328683,59,7,2,1
15,15,22,0,287.9311027564542,88,41,36,0
8,9,3,20,248.56474747449877,49,25,65,0
10,11,11,0,71.17890105875097,50,3,23,1
10,11,15,28,183.48731113575397,42,50,4,0
12,13,21,26,64.3222991866865,70,36,5,1
18,19,16,11,304.0815704798241,11,9,55,0
18,19,3,23,163.69860057638405,37,18,26,0
8,9,3,22,341.1531707798719,86,67,26,0
7,7,0,21,308.8985847914123,79,18,48,0
1,1,3,0,227.02052913958556,86,98,48,0
17,17,22,0,125.4538787060779,69,12,40,1
13,13,15,14,61.88132217437211,35,89,34,1
1,1,19,0,95.94206218066935,0,64,24,1
6,7,10,25,317.862674320938,73,48,35,0
11,11,6,20,272.57025925744034,2,38,61,0
16,17,11,11,136.13948369021008,93,83,57,1
15,15,23,14,325.5801394600038,67,91,5,0
10,11,19,17,132.00485154539902,86,48,46,1
7,7,13,0,311.3732475868265,19,15,46,0
13,13,13,25,348.67461303394964,16,2,4,0
4,5,18,10,99.29019813789364,76,51,62,1
10,11,2,26,55.1998756306994,69,49,13,1
1,1,13,20,204.92318123091889,91,46,52,0
7,7,23,29,293.72402666525113,56,24,58,0
7,7,9,25,53.67910091111489,7,40,2,1
16,17,4,13,338.76881788574485,56,51,49,0
11,11,11,17,344.89452702175015,92,84,45,0
5,5,10,0,331.9033055358318,93,73,58,0
19,19,11,11,263.96144402562214,25,8,58,0
8,9,6,25,107.57817411333372,34,10,64,1
4,5,21,15,238.58111426182504,46,73,5,0
11,11,21,13,336.3730791725887,44,86,44,0
17,17,2,29,159.33972144341485,21,96,31,0
15,15,18,2,54.76348818421285,84,61,57,1
16,17,3,22,95.81672619149012,33,11,52,1
5,5,5,27,82.77593126304261,17,39,52,1
10,11,6,20,121.70728868976096,5,40,54,1
4,5,3,12,100.81512061496828,91,62,57,1
14,15,20,20,97.36291359218508,81,90,59,1
1,1,7,15,50.120744518114414,2,72,2,1
18,19,12,25,298.5067852728548,49,38,65,0
15,15,16,25,172.8644573579276,83,12,25,0
17,17,8,11,193.66628861156192,97,51,10,0
19,19,21,14,145.28400683397967,24,89,22,1
13,13,18,13,121.26549805819388,95,36,1,1
5,5,20,11,232.6937841621954,73,86,50,0
2,3,7,25,316.1947020382527,43,62,14,0
12,13,6,2,64.97439722083527,54,50,3,1
15,15,3,20,59.43206467319085,88,69,20,1
15,15,11,1,169.74858262813183,98,92,23,0
14,15,3,15,63.33104240678609,31,4,9,1
11,11,13,20,169.00859492989122,97,88,51,0
8,9,3,21,138.58505486581635,22,21,61,1
1,1,17,9,259.63267391561214,42,5,65,0
1,1,20,23,335.0784443255275,24,33,7,0
10,11,4,14,52.99274521649456,73,68,10,1
11,11,16,9,319.08768930218184,14,14,29,0
5,5,5,25,294.34949483368814,92,3,54,0
18,19,9,7,54.664388310152646,47,95,36,1
5,5,0,29,191.48849222500465,66,54,2,0
17,17,18,29,285.9217267811082,65,69,41,0
6,7,0,16,179.5359257399355,49,88,55,0
16,17,4,0,295.083519567069,89,4,13,0
14,15,20,11,143.1756516619601,28,9,41,1
17,17,9,26,263.549058984792,91,91,37,0
1,1,10,1,281.1938460016665,62,54,65,0
18,19,10,25,335.0432895544175,50,80,14,0
15,15,7,10,231.68172184690908,70,44,58,0
19,19,9,8,321.5084609716499,40,50,46,0
14,15,19,3,348.18447427327897,72,57,1,0
10,11,4,20,222.29561678881683,95,49,53,0
10,11,8,13,106.8442978752448,49,89,48,1
14,15,22,9,90.56249891502968,97,34,22,1
0,0,11,13,123.44858474816542,23,97,35,1
6,7,2,1,141.02807500728505,97,47,8,1
17,17,15,18,246.10702818970807,54,34,50,0
13,13,20,11,234.8196072740609,43,46,53,0
16,17,5,8,348.73061022931404,47,60,5,0
14,15,1,14,141.76756478364925,8,99,40,1
7,7,7,2,211.26221177557764,65,53,65,0
19,19,23,22,266.6061453284989,90,45,39,0
6,7,6,23,114.20982980842166,7,54,65,1
9,9,20,16,216.46399186747675,78,66,41,0
10,11,11,0,136.9094415890876,45,4,7,1
18,19,12,11,208.59341796032288,22,79,65,0
3,3,13,24,240.02201085916107,95,92,23,0
8,9,3,1,98.20212509474244,3,45,1,1
12,13,8,3,63.536655692174534,42,16,16,1
18,19,1,2,85.85679921976549,88,16,2,1
11,11,16,22,238.5588094295944,8,38,55,0
19,19,3,14,108.84786368126254,69,56,40,1
10,11,18,24,343.85790696231084,53,92,61,0
15,15,17,18,298.77786012958217,75,89,29,0
16,17,6,28,106.11359913556056,47,90,59,1
10,11,11,0,71.17890105875097,50,3,23,1
9,9,9,23,95.05889286307028,34,21,19,1
10,11,2,26,55.1998756306994,69,49,13,1
10,11,2,26,55.1998756306994,69,49,13,1
10,11,11,0,71.17890105875097,50,3,23,1
6,7,2,1,141.02807500728505,97,47,8,1
10,11,11,0,71.17890105875097,50,3,23,1
16,17,6,28,106.11359913556056,47,90,59,1
10,11,11,0,136.9094415890876,45,4,7,1
14,15,20,20,97.36291359218508,81,90,59,1
4,5,18,10,99.29019813789364,76,51,62,1
9,9,9,23,95.05889286307028,34,21,19,1
8,9,3,1,98.20212509474244,3,45,1,1
10,11,4,14,52.99274521649456,73,68,10,1
14,15,22,9,90.56249891502968,97,34,22,1
16,17,3,22,95.81672619149012,33,11,52,1
