pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,rain_forecast,collision
14,15,2,4,239.20621947597743,62,40,21,6,17,1,1
5,5,4,8,236.06234252441064,47,85,6,2,20,0,0
7,7,2,4,292.1387630177637,92,47,34,5,5,0,0
9,9,2,3,310.8861731262681,50,72,17,8,7,0,0
15,15,12,13,249.04200832576475,52,16,38,9,19,1,1
11,11,2,12,302.7986332968863,48,63,33,5,9,1,1
2,3,12,19,296.94673700593256,37,82,54,2,6,1,1
5,5,23,24,89.31691476638538,26,52,17,9,14,1,1
8,9,7,29,62.18577572160318,46,1,4,2,17,0,1
10,11,22,25,135.09805799531915,28,27,49,1,13,0,1
5,5,0,16,287.64109872946676,1,12,45,8,5,1,1
12,13,23,3,267.42786631990947,40,21,36,6,1,0,0
5,5,19,6,140.55313100181976,37,97,6,5,20,1,1
19,19,10,10,107.78303566431605,15,26,5,7,2,1,1
16,17,0,22,176.95418179159535,59,61,26,8,1,1,1
15,15,15,9,194.9219586128723,94,38,53,7,9,0,0
0,0,12,1,172.7898106839265,23,54,42,4,3,1,0
9,9,11,11,192.76852748138384,11,21,62,5,7,0,0
19,19,0,14,235.36411825412677,91,10,57,10,20,0,1
14,15,23,4,178.33976717430235,47,69,16,9,17,0,1
13,13,7,5,131.61266285991388,28,64,37,1,1,1,1
5,5,8,17,107.81576564489188,74,98,42,5,18,1,1
13,13,21,25,294.50728508219686,47,63,56,2,19,0,1
5,5,15,21,207.91538847662403,11,5,10,5,7,0,0
6,7,13,0,309.332210581475,92,5,51,5,7,0,0
9,9,21,2,127.3722159612362,96,30,21,4,9,1,1
13,13,9,28,288.4760866832216,36,82,5,8,12,1,1
12,13,16,24,306.5221500190337,72,30,64,2,4,0,0
18,19,7,28,187.1767141694916,5,41,51,10,8,1,1
19,19,22,20,120.71554431860947,60,17,26,8,15,1,1
19,19,11,18,275.6440462403506,66,95,41,8,9,1,1
9,9,17,22,341.4828622323548,54,71,26,10,16,0,1
1,1,20,13,278.6617989906479,75,52,17,9,10,1,1
10,11,15,6,77.72421891800224,64,55,24,3,8,1,1
6,7,2,28,327.19665553314155,69,49,34,0,11,1,1
14,15,7,7,101.19520991431482,77,91,34,5,2,1,1
2,3,8,18,136.9397409576707,68,6,23,9,18,1,1
16,17,18,29,342.38346095892655,42,12,59,9,11,0,1
9,9,9,17,120.04183598224698,28,23,49,9,3,0,1
19,19,8,16,78.42449245362984,56,40,9,7,10,1,1
2,3,19,11,158.12867667818543,62,49,13,11,1,0,0
9,9,22,11,167.58594511177824,23,28,2,8,18,1,1
16,17,6,21,305.76197419185263,76,86,8,1,20,1,1
16,17,17,24,124.11933505927384,30,10,37,9,16,0,1
13,13,17,3,97.69203221417608,62,69,17,0,11,0,1
13,13,16,19,121.76287543892576,95,80,51,10,17,0,1
1,1,12,8,241.57676460395217,70,78,47,5,19,0,0
4,5,21,12,119.44441036676928,34,61,33,2,15,0,1
15,15,4,4,328.3311374213109,92,22,42,0,17,0,0
8,9,4,26,81.63590223597578,67,77,38,5,1,0,1
17,17,22,22,173.06474411046682,74,57,40,9,16,0,1
3,3,14,8,202.99146654977287,60,77,39,7,12,0,1
8,9,23,12,173.90560771180992,62,51,57,11,15,0,1
2,3,10,5,122.60301557830584,0,26,49,5,4,0,1
8,9,22,21,201.41263944546833,20,50,28,7,9,1,1
13,13,16,21,79.5127091925202,19,92,25,7,4,0,1
15,15,7,25,188.7943561422883,0,69,26,7,4,0,1
8,9,18,15,301.56020575528873,39,25,56,2,3,0,0
13,13,15,20,241.1763920103673,60,27,63,3,5,0,0
16,17,5,23,141.60449314977717,90,81,11,7,17,1,1
12,13,15,3,110.1633976406822,4,93,52,8,18,0,1
14,15,19,14,136.86459790482286,24,34,63,2,9,0,1
4,5,12,10,321.54856847986076,63,93,27,2,12,1,1
13,13,13,21,251.8450572721156,32,72,63,3,15,1,1
13,13,21,21,279.425610498597,16,86,3,4,3,0,0
17,17,8,8,246.5155424477297,27,71,10,6,6,0,0
0,0,9,4,82.23714845435278,93,42,62,10,5,0,1
0,0,11,12,348.4499816288404,52,43,63,2,15,0,0
17,17,16,19,328.46303982094605,63,76,8,7,6,0,0
15,15,12,16,257.17629201529746,48,16,23,4,20,1,1
13,13,22,18,206.4588799695392,57,61,10,9,14,0,1
0,0,22,2,233.21367977009228,88,96,55,8,1,1,1
14,15,18,23,307.87537721736277,77,18,55,4,1,0,0
14,15,13,27,336.90703554213565,21,64,43,0,10,1,1
18,19,0,10,85.81176358105758,3,47,31,2,4,1,1
14,15,7,17,207.95015082508215,94,45,46,9,20,1,1
14,15,18,21,97.43454825965848,65,8,37,11,6,1,1
7,7,14,4,102.58789305431046,91,94,4,1,1,0,1
0,0,22,29,162.06901103246483,87,28,46,3,14,1,1
14,15,1,21,317.34604467551657,95,71,40,6,9,0,0
18,19,17,17,219.08245268430903,60,5,37,2,6,1,1
7,7,15,5,318.7959436765039,8,50,11,0,8,0,0
2,3,2,7,296.0556373435197,12,55,9,4,13,1,1
6,7,12,19,281.36330895248284,64,30,55,4,8,1,1
19,19,10,3,55.25706127366035,26,85,14,1,18,1,1
12,13,22,25,326.0837058258736,57,96,47,10,18,0,1
4,5,8,15,140.55582225908344,89,97,22,2,11,1,1
12,13,14,28,99.88658067871768,47,67,16,10,16,0,1
2,3,4,28,75.70639929985929,14,23,26,7,18,1,1
5,5,5,28,345.03979224692284,31,98,30,10,18,0,1
13,13,14,5,76.75681863659021,47,3,58,8,4,0,1
6,7,3,9,103.71237616235,65,34,38,1,18,1,1
7,7,13,8,158.72544272381808,54,13,32,0,4,1,1
9,9,12,15,205.49927960159937,13,78,10,7,8,1,1
14,15,1,19,286.9316950542067,86,98,29,1,14,0,1
19,19,5,9,346.54049777541076,2,70,55,8,16,0,1
3,3,9,14,107.92046425217056,55,58,41,1,5,1,1
19,19,1,2,271.67156928081664,29,84,60,6,17,1,1
0,0,5,20,175.4759808616792,86,78,23,9,2,0,0
8,9,1,26,333.2669213386739,93,70,24,11,14,1,1
18,19,18,18,293.32279870888266,98,2,23,0,11,1,1
4,5,2,26,82.55384368742952,96,72,16,5,20,0,1
8,9,13,20,215.95014433534388,35,17,56,1,16,1,1
12,13,11,15,282.66432118778596,36,19,24,4,3,0,0
19,19,5,27,173.97154596352962,94,34,62,9,12,0,1
16,17,7,19,74.58988990691793,32,88,4,3,19,1,1
19,19,1,8,55.44506088820511,54,32,23,9,17,0,1
4,5,8,5,195.00337681474335,8,37,45,10,11,0,1
5,5,0,14,219.71024106298736,46,74,53,2,20,1,1
12,13,14,27,269.3974744739902,87,36,13,1,5,0,0
7,7,6,27,285.3555481508405,76,24,34,9,13,1,1
7,7,1,23,276.4803993495361,16,46,17,2,3,0,0
7,7,18,24,155.85696105908343,91,13,63,8,12,1,1
9,9,1,7,247.46548661714033,33,43,47,7,1,0,0
9,9,21,17,303.4361128863548,46,81,63,3,10,0,0
5,5,1,23,188.22794598335224,32,54,16,0,17,1,1
2,3,12,25,217.95057771308805,11,7,17,8,11,1,1
15,15,2,16,332.14125511488095,93,22,33,2,1,1,1
14,15,18,0,322.5014414135297,44,16,9,8,19,1,1
2,3,5,10,161.7449247130145,49,26,7,11,3,1,1
2,3,18,25,328.6746124885356,91,50,59,2,3,0,0
18,19,10,25,177.13942410370078,88,73,29,3,8,1,1
6,7,7,21,141.38376270293446,68,34,10,1,10,0,1
14,15,10,9,287.5081463637231,79,92,45,10,7,0,0
6,7,3,8,245.3287313892324,71,63,35,4,5,1,1
