pilot_name,team_name,track_city,dnf_percent,avg_speed,collision
9,9,11,14,58.286375818057635,1
11,11,12,9,236.21454993779145,0
6,7,20,29,311.3232853517876,0
16,17,9,5,168.11823400013236,0
16,17,0,2,67.36449666517899,1
9,9,21,1,257.36982001341016,0
1,1,7,22,242.03511775618216,0
1,1,9,11,88.09854582299975,1
17,17,20,1,186.02578658985365,0
11,11,15,7,94.19154649753015,1
9,9,20,10,78.71040251544848,1
2,3,11,27,280.32872001891644,0
12,13,6,2,232.6144596598272,0
15,15,2,4,94.29517617960764,1
17,17,20,24,237.51781968069713,0
17,17,10,21,271.2861940929648,0
5,5,9,21,237.88432277834244,0
11,11,10,10,85.22763592100308,1
14,15,3,28,107.15534228436776,1
13,13,16,5,107.40004652647896,1
7,7,20,13,264.7642108153753,0
5,5,22,25,181.79303864724167,0
11,11,0,18,275.8784271754518,0
8,9,17,12,106.01483304388756,1
12,13,21,14,310.14175430168166,0
11,11,17,20,298.9078504441686,0
4,5,0,15,269.08835594313956,0
4,5,3,14,79.4527428049615,1
15,15,13,26,144.2658074584871,1
15,15,22,10,266.5536887618726,0
16,17,13,2,102.14649453708688,1
1,1,18,9,82.19755309615914,1
10,11,1,0,276.94740776768464,0
16,17,21,24,171.50574976052562,0
11,11,11,6,198.01000457536347,0
15,15,3,16,209.07393427527057,0
18,19,7,9,201.9297988331051,0
2,3,14,2,329.59976113101817,0
1,1,0,3,302.9893254076643,0
13,13,18,11,335.6297445985006,0
8,9,17,19,131.06067473631535,1
18,19,20,24,143.32924907982024,1
11,11,3,11,229.27911238081572,0
10,11,15,15,297.0135410189997,0
16,17,18,24,72.02851635958835,1
14,15,10,1,110.79348203859982,1
17,17,15,17,318.88886610154896,0
13,13,14,16,129.47662908922734,1
16,17,20,12,80.48433995091192,1
13,13,18,12,65.24714902227092,1
11,11,19,2,62.75335280687007,1
15,15,21,24,292.7273580903249,0
8,9,22,14,328.06241854397564,0
15,15,5,21,85.35269976680505,1
12,13,7,3,251.3678354910152,0
12,13,23,29,242.22044318186528,0
16,17,2,13,301.0142350533476,0
18,19,9,25,250.16458038937185,0
2,3,13,20,299.8361676578494,0
8,9,19,19,157.40437490984027,0
18,19,22,28,143.62718527699852,1
10,11,8,12,86.73584505387309,1
16,17,9,25,247.29631832183233,0
1,1,11,7,241.03873327401124,0
16,17,8,11,89.41310680333032,1
12,13,15,5,249.46957793381745,0
12,13,12,4,183.54261668347797,0
12,13,17,15,65.66920909391978,1
0,0,7,7,132.5066473124455,1
2,3,4,9,313.92460116488803,0
8,9,17,11,204.20460250327676,0
5,5,20,13,184.45569356717704,0
1,1,0,20,317.69087991824733,0
7,7,7,12,265.42881502605087,0
14,15,21,11,217.8037466102629,0
1,1,21,14,211.45545294560273,0
8,9,8,3,187.58609475462225,0
18,19,13,2,323.9309681882705,0
1,1,16,24,296.2348592133314,0
2,3,23,22,110.21061141213502,1
7,7,18,22,71.37518667031522,1
6,7,2,22,287.716619779736,0
19,19,18,24,190.5417028876825,0
14,15,23,9,155.78223431894338,0
14,15,23,23,207.66868345721755,0
13,13,23,25,243.2227593572645,0
3,3,16,28,241.33310089429455,0
18,19,6,26,243.1001248071859,0
5,5,13,9,252.8191640584002,0
3,3,2,9,105.82076740213296,1
11,11,18,2,97.9124109527421,1
17,17,20,15,241.1435144402004,0
1,1,22,18,131.04658642723126,1
10,11,5,5,144.7982972369022,1
11,11,23,13,202.4020363395341,0
4,5,0,21,341.1738722141682,0
18,19,5,16,113.35302141445564,1
9,9,0,20,65.84150637305751,1
12,13,9,0,158.5839943817375,0
11,11,14,13,341.6528936493685,0
11,11,15,7,94.19154649753015,1
16,17,0,2,67.36449666517899,1
15,15,13,26,144.2658074584871,1
15,15,13,26,144.2658074584871,1
11,11,15,7,94.19154649753015,1
10,11,5,5,144.7982972369022,1
11,11,15,7,94.19154649753015,1
16,17,20,12,80.48433995091192,1
4,5,3,14,79.4527428049615,1
16,17,0,2,67.36449666517899,1
0,0,7,7,132.5066473124455,1
11,11,18,2,97.9124109527421,1
18,19,20,24,143.32924907982024,1
1,1,18,9,82.19755309615914,1
16,17,0,2,67.36449666517899,1
3,3,2,9,105.82076740213296,1
18,19,5,16,113.35302141445564,1
3,3,2,9,105.82076740213296,1
9,9,20,10,78.71040251544848,1
0,0,7,7,132.5066473124455,1
10,11,5,5,144.7982972369022,1
16,17,13,2,102.14649453708688,1
9,9,11,14,58.286375818057635,1
2,3,23,22,110.21061141213502,1
16,17,8,11,89.41310680333032,1
10,11,5,5,144.7982972369022,1
16,17,20,12,80.48433995091192,1
7,7,18,22,71.37518667031522,1
